Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M193T1169,0.18764,0.17318,0.99981,16627.55623,"[-0.08821161684828305, 0.4345713631090625]",0.71556,-0.98165,0.99982,14989.65765,"[-6.402208596522448, 4.438908210725464]",0.68444,33.20877,0.99982,13597.27459,Non classé
M200T2624,0.71412,0.05486,0.99981,15913.58969,"[-0.24626521189092415, 0.3559900339511413]",0.56380,-2.47600,0.99981,14427.23314,"[-11.095298402436212, 6.143306748261052]",0.18136,182.91289,0.99982,13716.80250,Non classé
M201T1169,0.35747,0.20399,0.99981,16227.32718,"[-0.23957455891879192, 0.647547599527766]",0.61753,3.99899,0.99981,14676.97226,"[-12.101888853252174, 20.099863369036935]",0.60507,-201.84092,0.99981,13353.15753,Non classé
M201T1241,0.49056,-0.09212,0.99981,16063.01074,"[-0.3601645118173514, 0.1759253784040818]",0.30946,-3.03679,0.99981,14852.63127,"[-9.011022729617618, 2.937450114417575]",0.97335,3.09225,0.99981,13409.05935,Non classé
M203T2482,0.77315,-0.02298,0.99981,15891.32322,"[-0.18330683403072665, 0.13735192240598557]",0.79627,-0.22188,0.99981,14299.28236,"[-1.9519883895830707, 1.5082259471060864]",0.33062,11.84193,0.99981,13268.14468,Non classé
M203T1541,0.03078,0.18376,0.99983,18016.87928,"[0.017968740462583482, 0.34954875500579385]",0.58230,0.69977,0.99983,16319.97751,"[-1.8571465351685421, 3.2566830267114173]",0.62930,-13.89240,0.99983,14833.16362,Produit
M203T2326,0.46979,-0.13630,0.99981,16083.79038,"[-0.5144633089421459, 0.24185355213942838]",0.56462,2.22654,0.99981,14580.96396,"[-5.540706305656591, 9.99378241462663]",0.02318,212.94515,0.99984,15284.50987,Recyclé
M203T1145,0.02725,0.27394,0.99983,18120.42492,"[0.032501830471165255, 0.5153771750348739]",0.95854,0.24595,0.99983,16275.71640,"[-9.282344738390332, 9.774245566358047]",0.64791,69.34241,0.99983,14782.44890,Produit
M205T2482,0.99955,0.00006,0.99981,15855.18295,"[-0.20317411153002043, 0.20328787375357918]",0.72079,0.65647,0.99981,14291.33356,"[-3.0395776208195344, 4.352509664603778]",0.02676,98.69939,0.99983,14873.44478,Recyclé
M205T1543,0.08979,0.18572,0.99982,17155.99858,"[-0.03028275089877508, 0.4017277444940144]",0.75047,-1.60606,0.99982,15452.26161,"[-11.770181280975457, 8.558054408541459]",0.19834,133.61840,0.99983,14635.27856,Non classé
M209T2869,0.90445,0.01675,0.99981,15861.44397,"[-0.2641095094043007, 0.29761722131499485]",0.72596,0.93557,0.99981,14295.00950,"[-4.4357831365703735, 6.306921774265474]",0.42811,62.16522,0.99981,13142.27873,Non classé
M214T3075,0.93166,-0.01240,0.99981,15858.37805,"[-0.3032782872693124, 0.27848742183903796]",0.49107,-2.77236,0.99981,14434.40014,"[-10.85411284757155, 5.309397939633861]",0.26581,164.62541,0.99981,13507.27119,Non classé
M216T1376,0.86181,0.02711,0.99981,15868.35244,"[-0.2862579142456798, 0.34047845913098373]",0.63842,-2.16302,0.99981,14340.75940,"[-11.419430641191536, 7.093386439290452]",0.10106,250.65062,0.99982,13995.83501,Non classé
M218T603,0.58756,-0.08337,0.99981,15983.49735,"[-0.39212103915254626, 0.22537231123242196]",0.41185,2.81779,0.99981,14630.18897,"[-4.065045465222618, 9.700629239782337]",0.88748,24.26677,0.99981,13215.47729,Non classé
M221T1541,0.50652,0.08753,0.99981,16048.03735,"[-0.17686565080489175, 0.35192843552564196]",0.03711,-8.30285,0.99983,16289.77920,"[-16.081489538655056, -0.5242169736765376]",0.81708,-22.19596,0.99983,14728.87393,Non classé
M223T1215,0.69196,-0.04576,0.99981,15923.52121,"[-0.2779476452456276, 0.1864315531843948]",0.44706,1.21820,0.99981,14536.19048,"[-1.995632898808605, 4.432039258806828]",0.10327,69.86886,0.99982,14172.43822,Non classé
M227T486,0.57734,-0.07603,0.99981,15990.67383,"[-0.3500236276739235, 0.19796279401467554]",0.62808,1.26846,0.99981,14456.94543,"[-3.9966286349010414, 6.5335553621580384]",0.02790,182.20768,0.99983,15014.42270,Recyclé
M227T2483,0.66570,-0.04432,0.99981,15936.48741,"[-0.250517997904177, 0.1618721909951098]",0.98980,-0.02007,0.99981,14313.08577,"[-3.1815315024480966, 3.1414002134248658]",0.11400,34.61286,0.99982,13891.75189,Non classé
M229T3112,0.83649,-0.01619,0.99981,15873.69781,"[-0.1740237389821982, 0.141643257190113]",0.32372,-0.75225,0.99981,14653.15827,"[-2.2770417293501035, 0.7725421699355455]",0.70115,3.69523,0.99981,13285.14378,Non classé
M231T3109,0.62681,-0.06576,0.99981,15958.21729,"[-0.33753396233465033, 0.2060067328838216]",0.37464,2.32944,0.99981,14654.35272,"[-2.9257374375298157, 7.5846131425878385]",0.21318,111.10253,0.99982,13837.44401,Non classé
M235T2079,0.14606,-0.16964,0.99982,16800.12705,"[-0.401124394565319, 0.06184941679928413]",0.42793,1.37775,0.99982,15358.18101,"[-2.1071624181842594, 4.862659016555082]",0.14150,-48.04949,0.99983,14761.49599,Non classé
M235T1457,0.87121,0.02532,0.99981,15866.60474,"[-0.2889050778220415, 0.3395373573126928]",0.97338,0.12005,0.99981,14250.70315,"[-7.126400749979773, 7.366492506837037]",0.33536,125.22380,0.99981,13216.02332,Non classé
M245T2326,0.03787,-0.08225,0.99983,17842.71771,"[-0.1596354405386951, -0.004859610757489238]",0.89458,-0.01569,0.99983,16032.98893,"[-0.25420187757049173, 0.22281446073856578]",0.73823,0.25434,0.99983,14521.16323,Substrat
M245T2482,0.10360,-0.08471,0.99982,17048.80549,"[-0.18756584658753198, 0.018141536724546686]",0.52027,0.13206,0.99982,15491.36815,"[-0.2804415043630433, 0.5445654072593515]",0.21804,1.42053,0.99983,14614.02847,Non classé
M245T1541,0.00042,0.13081,0.99986,22300.67465,"[0.06246148170866604, 0.19915291213629704]",0.00245,0.40158,0.99989,25934.97619,"[0.15159334024648707, 0.6515672203119802]",0.17941,1.20926,0.99990,24669.25247,"Produit,Transitoire"
M245T1410,0.95089,-0.00500,0.99981,15856.83085,"[-0.16848077259701894, 0.1584746841394779]",0.00383,-2.03692,0.99985,18023.03835,"[-3.3731983711238396, -0.7006486944162746]",0.07052,21.04701,0.99986,17888.76358,Non classé
M245T1144,0.00008,0.24370,0.99987,24222.36683,"[0.13194155587714967, 0.3554519865693478]",0.87337,0.09375,0.99987,21770.38114,"[-1.0907278884496856, 1.2782310768976375]",0.01156,-26.30299,0.99989,23642.85038,Produit
M246T2326,0.37062,-0.20704,0.99981,16207.26142,"[-0.669893829275737, 0.2558126850312545]",0.53398,3.02101,0.99981,14715.69548,"[-6.735489044621165, 12.777516037393884]",0.00456,505.16029,0.99985,16773.30297,Recyclé
M246T2483,0.89749,-0.01382,0.99981,15862.39480,"[-0.2296153444764168, 0.20198409699955783]",0.96657,0.08705,0.99981,14247.18031,"[-4.0955703541415, 4.269665691808895]",0.70989,-18.82849,0.99981,12913.73842,Non classé
M246T1541,0.32788,0.12927,0.99981,16276.53316,"[-0.134902735019988, 0.3934476739162586]",0.01750,-12.59754,0.99984,17137.98256,"[-22.855279328116932, -2.339796044218378]",0.33323,158.40900,0.99984,15897.45045,Non classé
M249T2327,0.91137,-0.01583,0.99981,15860.56693,"[-0.30208544782158864, 0.27041698189054486]",0.96357,0.11428,0.99981,14245.67059,"[-4.925116156465471, 5.153668407221836]",0.13706,96.48835,0.99982,13711.74819,Non classé
M252T898,0.73946,0.04852,0.99981,15903.30342,"[-0.24486897457646378, 0.341903844772164]",0.94670,0.20228,0.99981,14285.01507,"[-5.891301028861968, 6.295867170873621]",0.18954,97.38808,0.99982,13555.92619,Non classé
M253T1870,0.93068,-0.00995,0.99981,15858.47059,"[-0.24023178965908967, 0.22032388659275695]",0.69275,0.72804,0.99981,14305.73339,"[-2.9788918849953987, 4.434972911258793]",0.10627,78.94243,0.99982,13929.33610,Non classé
M253T2482,0.55493,-0.04789,0.99981,16007.33421,"[-0.21073549802004518, 0.11496210892492384]",0.17152,1.44389,0.99982,15154.11594,"[-0.6550523240567774, 3.5428268802343084]",0.01055,51.35981,0.99985,16535.53946,Recyclé
M254T1721,0.84393,0.03041,0.99981,15872.02930,"[-0.28039875055295954, 0.3412224493609089]",0.56604,-2.52855,0.99981,14388.00942,"[-11.381837331693895, 6.324734932537702]",0.07842,272.23554,0.99982,14209.19794,Non classé
M255T1410,0.37243,0.11395,0.99981,16204.57293,"[-0.14177627623716937, 0.3696844633147439]",0.06382,-7.93423,0.99983,16032.49012,"[-16.348801353328973, 0.48033714048869136]",0.70760,44.17391,0.99983,14532.92246,Non classé
M265T1303,0.95767,-0.00921,0.99981,15856.40655,"[-0.35835903868504865, 0.3399437245386428]",0.62399,2.07730,0.99981,14337.83261,"[-6.44304667400292, 10.597654232237906]",0.10925,258.41072,0.99982,13942.89790,Non classé
M267T2325,0.55984,-0.11968,0.99981,16003.57202,"[-0.5318098012815817, 0.2924472742310702]",0.21148,6.99227,0.99982,15019.51746,"[-4.155176045882769, 18.13971424840905]",0.20040,279.25451,0.99982,14219.18462,Non classé
M269T2484,0.95163,-0.00901,0.99981,15856.78117,"[-0.30804349751262095, 0.2900185192825475]",0.76646,0.67378,0.99981,14276.87026,"[-3.8923107247741067, 5.239864105408658]",0.03732,123.34116,0.99983,14614.59857,Recyclé
M271T2483,0.84841,0.01072,0.99981,15871.06294,"[-0.10209433852071297, 0.12352827020505112]",0.55805,-0.16495,0.99981,14392.70382,"[-0.7307411023440115, 0.4008476834454474]",0.02657,3.67294,0.99983,14984.10480,Recyclé
M272T2482,0.69870,-0.04864,0.99981,15920.40682,"[-0.3012630152913097, 0.2039876368368191]",0.36843,-2.24009,0.99981,14628.16512,"[-7.227846593853586, 2.747666779655207]",0.85592,-14.40400,0.99981,13218.60912,Non classé
M273T2886,0.15780,-0.01064,0.99982,16746.01972,"[-0.0255899589862335, 0.004313113795458351]",0.64129,0.00226,0.99982,15132.33368,"[-0.007507348553308507, 0.012034778773244437]",0.12045,0.00684,0.99983,14650.14552,Non classé
M273T3019,0.23467,-0.00998,0.99981,16480.72682,"[-0.026717235467343756, 0.006757971606076444]",0.46882,0.00776,0.99982,15022.25420,"[-0.01374460520625775, 0.02927451762163066]",0.31191,-0.02477,0.99982,13969.75129,Non classé
