Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M337T1541,0.04830,-8.94339,0.92388,14.89563,"[-17.814938786245744, -0.07184948109435751]",0.85453,-30.54449,0.92398,13.73988,"[-369.5980358985872, 308.50906452567483]",0.09421,5091.07291,0.93219,14.31979,Substrat
M337T1582,0.00061,0.26672,0.94337,20.44415,"[0.12561782494497786, 0.4078243965618149]",0.00822,-0.05555,0.95693,25.11587,"[-0.09545700202820714, -0.015640866386419233]",0.01614,0.01258,0.96599,29.58326,"Produit,Recyclé"
M337T1394,0.00000,1.37728,0.96697,35.93082,"[0.9564215457218603, 1.7981467864406726]",0.34565,0.19417,0.96810,34.31018,"[-0.2213554197199536, 0.6096872633584318]",0.28055,0.19399,0.96958,33.20506,Produit
M337T1910,0.00831,3.82558,0.93219,16.87207,"[1.0697374179146464, 6.581416940815915]",0.63270,-5.86659,0.93280,15.69075,"[-30.801067052309566, 19.067889978009486]",0.41724,-118.83005,0.93458,14.88050,Produit
M338T1582,0.00911,1.39436,0.93177,16.75951,"[0.376103943995991, 2.412610946183497]",0.00058,-3.12505,0.95708,25.20926,"[-4.765361543172639, -1.484731646241217]",0.23070,1.77809,0.95953,24.69488,Produit
M338T1393,0.00006,6.78254,0.95202,24.34946,"[3.856380100551371, 9.708694158802603]",0.00871,18.58579,0.96336,29.72076,"[5.119374275913936, 32.052196315837456]",0.46863,31.40848,0.96414,28.00276,"Produit,Transitoire"
M339T1582,0.00040,11.13519,0.94500,21.08638,"[5.474124698809782, 16.79625035612663]",0.33423,40.68568,0.94697,20.18782,"[-44.31295657676497, 125.68431358886596]",0.00243,1199.40939,0.96356,27.54145,"Produit,Recyclé"
M339T1824,0.00009,2.66386,0.95064,23.63632,"[1.4777577243374607, 3.849964310318941]",0.34427,-2.28168,0.95234,22.58867,"[-7.150417438077043, 2.5870483107221736]",0.31483,-14.77927,0.95427,21.73477,Produit
M339T1922,0.00043,2.49471,0.94477,20.99232,"[1.21925133835264, 3.770173611205175]",0.14349,-3.60165,0.94921,21.12712,"[-8.509458151893803, 1.306157096919908]",0.69094,-5.95834,0.94954,19.60082,Produit
M339T1402,0.69607,-1.94207,0.91232,12.77059,"[-12.034480077177719, 8.150330928587433]",0.01413,224.16514,0.93076,15.19509,"[49.01743463339878, 399.3128552865227]",0.00193,7348.94733,0.95322,21.22630,"Transitoire,Recyclé"
M340T1826,0.05369,7.72709,0.92337,14.78818,"[-0.13176714989743044, 15.585952299277437]",0.43028,50.34238,0.92522,13.98552,"[-78.81544944152871, 179.50020868558255]",0.06737,-4627.49080,0.93476,14.92471,Non classé
M340T1924,0.04603,7.32316,0.92411,14.94485,"[0.13856244738795986, 14.507754761681324]",0.07716,117.13611,0.93286,15.70600,"[-13.698053623151765, 247.97027835752564]",0.48448,-1371.62375,0.93418,14.78520,Produit
