Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M447T1411,0.72004,0.03559,0.99981,14846.69877,"[-0.16421743574066813, 0.23539420976349565]",0.00938,-3.09500,0.99985,16298.63630,"[-5.380281217544599, -0.8097175267546972]",0.09067,41.68223,0.99986,16095.50948,Non classé
M447T2907,0.72548,0.03349,0.99981,14844.54294,"[-0.15842376011878925, 0.22540040139295894]",0.22636,-0.42675,0.99982,13982.09675,"[-1.1302712535260744, 0.27676202358521795]",0.44719,-0.86862,0.99982,12897.64608,Non classé
M447T793,0.25072,-0.11329,0.99982,15353.20106,"[-0.31009713137623157, 0.08352102866749617]",0.37646,1.09814,0.99982,14178.40041,"[-1.390406465641207, 3.5866846055444492]",0.23642,-33.43616,0.99983,13404.41589,Non classé
M447T2711,0.63694,-0.07505,0.99981,14886.19764,"[-0.3948032311389403, 0.24470282332106824]",0.84597,0.62974,0.99981,13453.63781,"[-5.902612465694317, 7.162085620052403]",0.90813,-7.00612,0.99981,12202.81525,Non classé
M448T2907,0.28124,0.19209,0.99982,15284.92649,"[-0.16402806300912243, 0.5482132574683649]",0.74676,0.61266,0.99982,13840.66281,"[-3.208809288432654, 4.434132237899583]",0.52974,-17.05878,0.99982,12697.67394,Non classé
M449T1595,0.73999,-0.04000,0.99981,14839.03833,"[-0.2825726876929474, 0.20257050240529342]",0.76440,0.47723,0.99981,13431.28039,"[-2.7303091498145364, 3.6847740233120434]",0.99835,-0.08082,0.99981,12177.69579,Non classé
M449T1436,0.34363,-0.07848,0.99982,15171.56508,"[-0.24434962835892549, 0.08738165285357669]",0.01644,2.56835,0.99985,16182.56230,"[0.49948083201557747, 4.637222107239691]",0.07462,-34.65198,0.99986,16132.25945,Transitoire
M449T1053,0.32681,-0.06331,0.99982,15199.21880,"[-0.192470930310313, 0.06585173826047011]",0.03495,2.18113,0.99984,15609.42209,"[0.16314809792941443, 4.199103189576783]",0.35110,-14.90973,0.99984,14524.68534,Transitoire
M449T1199,0.66734,-0.04162,0.99981,14870.25434,"[-0.23638000021131927, 0.1531461375231739]",0.16472,3.57274,0.99982,14197.09920,"[-1.5382991540925044, 8.683772163749458]",0.01550,-137.65273,0.99985,15331.68730,Non classé
M449T1511,0.61193,-0.06483,0.99981,14900.71388,"[-0.3217652966597888, 0.19209582321713237]",0.22931,4.18136,0.99982,14027.50365,"[-2.756503121507339, 11.119232565398267]",0.00522,-182.14757,0.99986,16051.87184,Non classé
M450T1437,0.36217,-0.20564,0.99982,15143.18574,"[-0.6574972357105942, 0.24622109811996812]",0.03664,11.79360,0.99984,15515.55475,"[0.7752530786300103, 22.8119369977369]",0.45677,-156.96206,0.99984,14301.92417,Transitoire
M451T1169,0.73437,0.03852,0.99981,14841.12658,"[-0.18995677691352364, 0.2670041157323278]",0.81959,0.40466,0.99981,13418.45767,"[-3.170249306695134, 3.979566355698911]",0.34262,35.27307,0.99982,12497.58804,Non classé
M451T2808,0.40759,-0.02127,0.99982,15081.64817,"[-0.07276125511795983, 0.03021483709433692]",0.86162,-0.02662,0.99982,13627.37407,"[-0.33439171149093033, 0.28114926178176797]",0.88345,0.12548,0.99982,12363.41551,Non classé
M451T1410,0.93904,-0.00316,0.99981,14795.50545,"[-0.08636919150501511, 0.08005002869931467]",0.00431,-0.44257,0.99985,16915.60275,"[-0.7368325915841264, -0.1483143229433591]",0.82241,-0.29252,0.99985,15359.89545,Non classé
M451T3079,0.21657,0.12950,0.99982,15443.25663,"[-0.07931217946045882, 0.33831079986207163]",0.13196,-3.40955,0.99983,14889.70650,"[-7.8970453508517116, 1.0779528259563014]",0.71397,-21.31012,0.99983,13554.25092,Non classé
M451T2962,0.55504,-0.07397,0.99981,14938.95700,"[-0.32577400265471884, 0.1778309495251295]",0.00671,4.76960,0.99985,16687.95735,"[1.409995708111068, 8.129196695769608]",0.23155,50.55149,0.99986,15790.86089,Transitoire
M452T1171,0.89585,0.01505,0.99981,14800.21154,"[-0.21641015201217223, 0.2465018573431459]",0.28179,-1.36018,0.99982,13817.59069,"[-3.886152037328354, 1.1657845304866126]",0.39971,18.66418,0.99982,12796.00712,Non classé
M452T1477,0.22883,0.18178,0.99982,15409.01974,"[-0.11936734973450025, 0.48292664565948895]",0.38932,-3.26167,0.99982,14212.97884,"[-10.857886105234961, 4.3345400712254225]",0.60862,-51.21378,0.99983,12987.69426,Non classé
M452T2401,0.47339,-0.08879,0.99982,15008.84678,"[-0.3373097570019328, 0.15973139194668137]",0.85366,0.40023,0.99982,13563.02339,"[-3.97227401525194, 4.772729319028975]",0.01426,89.26475,0.99985,14711.00847,Recyclé
M452T2808,0.48881,-0.07371,0.99982,14994.09995,"[-0.2874662475987371, 0.1400416318569871]",0.88078,-0.26469,0.99982,13545.17010,"[-3.821258906602261, 3.2918847534383824]",0.48213,25.14442,0.99982,12463.42318,Non classé
