Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M287T1410,0.87477,-0.03259,0.99990,10208.84961,"[-0.45412398869662757, 0.38894509426437535]",0.01797,-6.15908,0.99992,11938.04521,"[-11.163531966003447, -1.1546211796664068]",0.36705,-67.28871,0.99992,11405.58097,Non classé
M289T2326,0.24425,-0.07926,0.99990,10778.69857,"[-0.21614630168028165, 0.05762593413870337]",0.59671,-0.17211,0.99990,10052.68863,"[-0.8345248785824076, 0.4902970902424436]",0.27615,2.57289,0.99991,9764.52082,Non classé
M289T1541,0.00000,0.01491,0.99996,25729.96342,"[0.009929852471788148, 0.01988050150439189]",0.75808,-0.00037,0.99996,23808.63662,"[-0.002851398053317997, 0.0021034632258016234]",0.47017,0.00037,0.99996,22453.42658,Produit
M289T1145,0.00001,0.02367,0.99995,23083.74879,"[0.0149985851374779, 0.03235102105905194]",0.77929,-0.00175,0.99996,21345.18358,"[-0.014495570687469896, 0.010995241820459158]",0.94204,0.00061,0.99996,19673.66036,Produit
M289T2557,0.84118,0.00771,0.99990,10215.23182,"[-0.07071372495608566, 0.08613353606589644]",0.31417,-0.30839,0.99990,9828.98681,"[-0.92750541645365, 0.31072442953492785]",0.85048,-0.29429,0.99990,9071.47328,Non classé
M289T2483,0.00174,-0.03886,0.99993,15211.36547,"[-0.06169386456370342, -0.016028056633965764]",0.73916,0.00257,0.99993,14085.07598,"[-0.01319158012663271, 0.01833738241440738]",0.00589,0.01579,0.99995,18176.81676,"Substrat,Recyclé"
M289T1410,0.84729,0.00925,0.99990,10213.95293,"[-0.08870427511323889, 0.10721420633420178]",0.00051,-0.25075,0.99994,15726.02367,"[-0.3797550975630179, -0.12174704029487021]",0.36686,0.38563,0.99994,15025.03264,Non classé
M290T2326,0.02390,-0.53343,0.99992,12558.25226,"[-0.9902391847730185, -0.07662042589314527]",0.28150,4.18209,0.99992,12159.09336,"[-3.652218738075746, 12.016402330693076]",0.18156,163.08482,0.99993,12128.95161,Substrat
M290T2482,0.16562,-0.10327,0.99991,11030.64834,"[-0.2521829190969208, 0.045652296950331545]",0.43297,0.28048,0.99991,10435.27818,"[-0.4453718228140997, 1.006323855034545]",0.00265,5.62946,0.99994,14363.14032,Recyclé
M290T1541,0.00000,0.09377,0.99996,24224.01066,"[0.06082942781762437, 0.12670213344074974]",0.44654,-0.03861,0.99996,22882.01899,"[-0.14157205054209204, 0.0643539618003281]",0.45673,0.10110,0.99996,21610.57171,Produit
M290T1145,0.00004,0.13982,0.99995,20199.49312,"[0.0816589651391039, 0.19798384154401813]",0.15609,-0.33754,0.99995,20279.11069,"[-0.8132824365606961, 0.1382105834836978]",0.89254,-0.33564,0.99995,18701.84140,Produit
M291T2326,0.27686,-0.25514,0.99990,10702.68326,"[-0.7278281287598589, 0.21755015046191994]",0.48330,3.31351,0.99990,10071.98405,"[-6.290888244541355, 12.917910476781769]",0.00542,305.97650,0.99993,13083.57930,Recyclé
M291T2483,0.27727,-0.18989,0.99990,10701.79945,"[-0.5420107020248606, 0.1622251986498469]",0.32325,2.95067,0.99991,10280.81894,"[-3.087632009627635, 8.9889694169812]",0.00332,207.47748,0.99994,13894.47713,Recyclé
M291T1541,0.00588,0.42946,0.99993,13897.57986,"[0.13571914044983324, 0.7232104557227117]",0.33149,-2.55213,0.99993,13332.32528,"[-7.8664242775613475, 2.762169002322108]",0.24368,92.83261,0.99993,13050.17537,Produit
M293T2328,0.46660,-0.14541,0.99990,10421.50203,"[-0.5504783552354212, 0.25966223034463776]",0.02425,7.13967,0.99992,11919.13901,"[1.0123129780862632, 13.267034648789629]",0.04874,210.75715,0.99993,13051.71769,"Transitoire,Recyclé"
M293T2482,0.64922,-0.03276,0.99990,10284.97942,"[-0.17930873920169685, 0.11379010653013108]",0.09941,1.41416,0.99991,10639.06323,"[-0.288655034861371, 3.116975944667722]",0.85401,-2.69755,0.99991,9818.38512,Non classé
M295T3108,0.00365,-0.19329,0.99993,14396.69240,"[-0.3173824640864739, -0.06918935603685576]",0.81206,0.06665,0.99993,13299.94284,"[-0.5055793824064514, 0.6388835705377403]",0.90031,0.31772,0.99993,12264.10561,Substrat
M295T1641,0.97035,0.00546,0.99990,10199.08131,"[-0.29390545379551586, 0.3048212463254942]",0.72316,-0.80863,0.99990,9449.79144,"[-5.4649674798540815, 3.8477072363169498]",0.00475,-86.84850,0.99993,12405.79369,Non classé
M299T512,0.23355,-0.23016,0.99990,10806.55371,"[-0.618444698990357, 0.15812546828047724]",0.38292,2.31079,0.99991,10287.17624,"[-3.055045396061902, 7.676628432042658]",0.00128,179.42931,0.99994,15025.87034,Recyclé
M300T2908,0.60105,-0.10887,0.99990,10312.94489,"[-0.5322180394824603, 0.31448378342071875]",0.54200,1.60920,0.99990,9655.97194,"[-3.759656977139456, 6.978053072799084]",0.09044,74.51457,0.99991,10106.17163,Non classé
M300T2852,0.82153,0.05127,0.99990,10219.70647,"[-0.4119455094647684, 0.5144858241854788]",0.23816,4.68671,0.99990,9992.85579,"[-3.309160688480084, 12.68257445225293]",0.03955,167.67349,0.99992,11115.06572,Recyclé
M300T2734,0.92678,-0.02511,0.99990,10202.02158,"[-0.582294146762304, 0.5320680874731007]",0.27214,5.06682,0.99990,9897.15883,"[-4.2370313208899955, 14.370670825955811]",0.00214,425.41336,0.99994,13858.64498,Recyclé
