Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M581T2974,0.02069,-5966.10347,0.99802,569.70230,"[-10943.882878365486, -988.3240538068012]",0.35577,62063.65264,0.99809,543.59217,"[-73790.2750398865, 197917.58032829003]",0.04947,3379067.76650,0.99838,590.50806,"Substrat,Recyclé"
M581T2557,0.06802,-2186.00266,0.99786,526.20235,"[-4545.812111184871, 173.80679644653083]",0.06988,27106.25828,0.99813,554.58925,"[-2372.8581253460325, 56585.3746816324]",0.12209,284240.57743,0.99831,565.91159,Non classé
M583T2555,0.36203,-74.06914,0.99764,476.98837,"[-238.16312433543519, 90.02484516845553]",0.87538,28.39705,0.99764,439.97496,"[-340.72588135636073, 397.51998336769265]",0.55339,-156.44183,0.99767,411.60038,Non classé
M584T2555,0.37612,-255.93583,0.99763,476.09911,"[-840.1453404036448, 328.2736795433665]",0.08206,3234.77131,0.99791,496.45156,"[-442.42045171202017, 6911.963078548502]",0.92619,690.82637,0.99791,457.69718,Non classé
M585T1565,0.29338,-1797.18433,0.99766,482.13723,"[-5241.812849068419, 1647.4441946411553]",0.32659,33372.01961,0.99775,462.11274,"[-35314.79680438922, 102058.83603202761]",0.12801,1815669.42617,0.99796,470.08300,Non classé
M585T2555,0.06792,-1724.62087,0.99786,526.25048,"[-3585.670781039802, 136.4290368458776]",0.06572,21652.15708,0.99813,556.93323,"[-1517.4061986626584, 44821.7203605393]",0.03289,339675.11874,0.99846,623.10108,Recyclé
M587T3018,0.04665,-3310.58422,0.99791,539.33874,"[-6568.195870177173, -52.97256978493533]",0.44605,18800.95358,0.99796,508.92828,"[-31211.49095565504, 68813.3981139754]",0.05497,1082863.30837,0.99825,548.72928,Substrat
M589T2886,0.55683,327.73775,0.99759,467.97181,"[-804.0251619288248, 1459.5006648041904]",0.14358,-3773.24832,0.99779,470.64828,"[-8919.712146789749, 1373.215515066605]",0.00053,26739.05357,0.99867,722.69096,Recyclé
M590T2886,0.64173,-826.28102,0.99758,465.60987,"[-4434.115136177637, 2781.5531030485795]",0.27769,11958.03221,0.99769,450.23218,"[-10235.610908444582, 34151.675323433315]",0.07280,402921.07114,0.99799,475.95064,Non classé
M591T1411,0.77574,-280.80276,0.99757,463.13995,"[-2285.9851428556567, 1724.3796230656071]",0.07780,-15785.63720,0.99786,484.65447,"[-33462.863023308135, 1891.5886200216664]",0.33634,-143080.21324,0.99794,464.60892,Non classé
M591T1001,0.26473,-1480.22171,0.99767,484.79319,"[-4149.46517732402, 1189.0217508705937]",0.01752,-47802.64688,0.99815,562.62510,"[-86504.75653750567, -9100.537213805059]",0.20633,686069.20053,0.99827,555.03091,Non classé
M591T2886,0.79054,-306.55029,0.99756,462.94697,"[-2654.59339856805, 2041.492825183052]",0.04341,16975.13270,0.99794,504.02665,"[543.2545064466358, 33407.010900281704]",0.11272,186768.61401,0.99815,517.08158,Transitoire
M592T1411,0.01970,-3677.27169,0.99803,571.60902,"[-6718.658401325254, -635.884975912651]",0.00150,-99278.15388,0.99869,795.13782,"[-156619.85647926954, -41936.45127835434]",0.30736,589589.65641,0.99875,766.05535,Substrat
M593T2483,0.07272,-2116.05239,0.99785,523.93977,"[-4441.476415116336, 209.37163653621838]",0.11420,-15960.30421,0.99806,534.64896,"[-36042.40236883552, 4121.793953791959]",0.85684,32528.35422,0.99806,493.41644,Non classé
M593T1330,0.04031,-3466.64076,0.99793,544.58384,"[-6768.161262380359, -165.12024772937366]",0.62266,-11341.63525,0.99795,506.81367,"[-58222.09718203463, 35538.8266827115]",0.11917,661808.12606,0.99815,518.00698,Substrat
M593T1411,0.36358,1063.28887,0.99764,476.88801,"[-1300.0908476102627, 3426.6685949708185]",0.55144,-16118.10052,0.99767,445.86297,"[-71099.08574125414, 38862.88470235905]",0.33625,-909840.44287,0.99776,427.43132,Non classé
M593T1001,0.95992,75.48090,0.99756,461.71090,"[-2982.1911362088445, 3133.152927728713]",0.39981,-50986.79189,0.99763,437.97249,"[-173576.01966778986, 71602.43589666074]",0.80683,-331259.62196,0.99763,404.66594,Non classé
M594T792,0.03212,-4037.12359,0.99796,552.93056,"[-7701.924043717048, -372.32312841329303]",0.00612,-101264.97866,0.99850,692.63908,"[-170911.99872143276, -31617.9586065467]",0.70971,-533658.45065,0.99851,642.11590,Substrat
M594T1395,0.10338,-1733.55526,0.99780,512.38120,"[-3844.594111299376, 377.483591852794]",0.04875,-27705.82813,0.99812,553.39266,"[-55247.19115967315, -164.46510011407736]",0.89621,29811.05324,0.99812,510.37677,Non classé
M595T1406,0.01237,-3738.94065,0.99809,590.26875,"[-6598.199413670005, -879.681892783603]",0.01379,-44881.81340,0.99851,696.88953,"[-79775.45646117092, -9988.17033841367]",0.12795,581172.83606,0.99865,708.88014,Substrat
M595T916,0.89261,-182.45259,0.99756,461.99587,"[-2933.5087733293394, 2568.6035954915233]",0.29144,28767.60534,0.99767,445.54468,"[-26207.083803277063, 83742.2944769471]",0.14532,-1066729.51436,0.99787,449.46753,Non classé
M597T2735,0.17457,1449.63895,0.99773,496.34521,"[-685.1306562568957, 3584.408546842444]",0.16404,-10283.61526,0.99790,495.06099,"[-25056.011228097967, 4488.7807141197045]",0.02342,142501.18522,0.99831,567.88640,Recyclé
M597T1385,0.97535,-13.02778,0.99756,461.68238,"[-871.5396328414836, 845.4840645169597]",0.20059,2855.94350,0.99772,454.90760,"[-1618.4749443746923, 7330.361946131755]",0.10859,-12433.00786,0.99795,467.87418,Non classé
M598T2736,0.26703,-2215.60818,0.99767,484.56615,"[-6230.709882855508, 1799.4935204324188]",0.05529,42084.24926,0.99800,518.87213,"[-1028.3122326017183, 85196.81074440057]",0.00531,1186496.11908,0.99856,665.78174,Recyclé
