Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M161T2482,0.00001,22.59015,0.66301,6.79672,"[13.77300989853795, 31.407297157837917]",0.45387,-66.80146,0.66815,6.20806,"[-245.61500595656244, 112.01208322457344]",0.03212,-5772.08531,0.70841,6.72771,Produit
M163T1583,0.00002,26.36878,0.64607,6.30593,"[15.425411663254025, 37.31213970988739]",0.31547,-111.78882,0.65570,5.87214,"[-334.37380017303803, 110.79615620090576]",0.62186,-1218.62691,0.65806,5.32924,Produit
M163T1397,0.00360,18.56984,0.54081,4.06863,"[6.455509733425316, 30.684164530768655]",0.01913,371.26379,0.60492,4.72090,"[64.24057863148204, 678.2869957299447]",0.98211,-100.94817,0.60492,4.24007,"Produit,Transitoire"
M164T1542,0.60403,3.95365,0.42856,2.59082,"[-11.350617502106852, 19.2579182818866]",0.02741,512.68826,0.49986,3.08155,"[60.35288584986296, 965.0236419742071]",0.00707,20233.71614,0.59226,4.02245,"Transitoire,Recyclé"
M167T2886,0.00764,-4.50521,0.52391,3.80154,"[-7.7421850490883735, -1.2682434941497203]",0.00908,10.48800,0.60489,4.72047,"[2.7712864508353334, 18.20471969537763]",0.13987,-22.17397,0.62842,4.68328,"Substrat,Transitoire"
M167T3019,0.00081,-8.48972,0.57312,4.63808,"[-13.213946374018853, -3.7655032281846204]",0.00290,51.29539,0.66520,6.12609,"[18.71288000588914, 83.87790128792616]",0.09837,-284.92828,0.68999,6.16351,"Substrat,Transitoire"
M168T2886,0.13962,11.78307,0.45698,2.90719,"[-4.026734813955901, 27.592880092937225]",0.43670,119.33790,0.46590,2.68967,"[-188.18390521770016, 426.8597142820496]",0.31773,-3461.03351,0.48071,2.56352,Non classé
M168T3018,0.04516,15.99177,0.48285,3.22537,"[0.36316525079563, 31.620376507786972]",0.01806,507.10306,0.55626,3.86523,"[91.82423116357182, 922.3818863958645]",0.61715,3801.68203,0.55938,3.51555,"Produit,Transitoire"
M169T2482,0.00000,3.64491,0.92606,43.26501,"[3.185337362305873, 4.104482667859703]",0.00000,-3.26772,0.95863,71.44529,"[-4.49447007433908, -2.0409639808954063]",0.00003,7.23646,0.97488,107.48801,"Produit,Recyclé"
M170T2482,0.00002,20.07809,0.64569,6.29555,"[11.73390154296033, 28.422281941575555]",0.44030,76.69394,0.65142,5.76218,"[-122.51015010046433, 275.89803814920043]",0.01091,-7133.11472,0.70956,6.76552,Produit
M172T1073,0.01736,17.53317,0.50506,3.52515,"[3.2654898568488377, 31.800856927985137]",0.01385,481.57837,0.58072,4.27049,"[103.94578417801159, 859.2109610837683]",0.75224,2371.70175,0.58189,3.85402,"Produit,Transitoire"
M173T1583,0.09821,2.63035,0.46492,3.00155,"[-0.5107053092349338, 5.7714072627794835]",0.00055,-14.53715,0.61399,4.90437,"[-22.32935570065454, -6.744952806358155]",0.01260,23.77933,0.67605,5.77906,Recyclé
M173T1394,0.01092,11.63612,0.51573,3.67899,"[2.8344943607271507, 20.437737939592246]",0.01262,-55.74806,0.59160,4.46642,"[-98.83327286348907, -12.662840044252796]",0.40115,-228.21638,0.59963,4.14739,Produit
M173T1170,0.80803,2.33214,0.42536,2.55708,"[-16.96433889723218, 21.628620757025708]",0.88329,-41.45319,0.42569,2.28547,"[-609.6945906151242, 526.7882146785759]",0.56106,4987.91953,0.43113,2.09876,Non classé
M173T1240,0.00002,16.02236,0.65048,6.42916,"[9.479284186939136, 22.565430326238623]",0.03397,-78.26565,0.69098,6.89454,"[-150.27746477054893, -6.253838135150417]",0.35760,-626.34466,0.69826,6.40836,Produit
M174T1583,0.00090,26.72546,0.57095,4.59707,"[11.705670524865104, 41.74525288677187]",0.59081,131.91566,0.57433,4.16023,"[-360.88755423336477, 624.7188775309744]",0.90292,-1380.44804,0.57451,3.73915,Produit
M175T972,0.00000,22.10949,0.82624,16.42674,"[17.33469086430474, 26.884290744059626]",0.52755,-34.43105,0.82813,14.85666,"[-143.81855717776773, 74.95646440560323]",0.02477,-2729.96502,0.85087,15.80030,Produit
M179T1169,0.91272,0.72455,0.42463,2.54954,"[-12.569185426075983, 14.018293508701824]",0.75786,-70.82399,0.42613,2.28955,"[-532.8577736442742, 391.2097991443512]",0.31931,6486.23263,0.44194,2.19301,Non classé
