Feature,P-value_linear,Pente_linear,R2_linear,F-statistic_linear,Confidence_interval_linear,P-value_quadratic,Pente_quadratic,R2_quadratic,F-statistic_quadratic,Confidence_interval_quadratic,P-value_cubic,Pente_cubic,R2_cubic,F-statistic_cubic,Type
M606T2886,0.11701,-0.20734,0.99991,12125.99427,"[-0.47019543101916467, 0.05552061875685771]",0.45975,-1.24704,0.99991,11425.79636,"[-4.667604146839616, 2.173523190116449]",0.95158,2.78439,0.99991,10531.66633,Non classé
M607T2483,0.26598,-0.14755,0.99990,11559.88002,"[-0.4143329204176237, 0.11923750634835784]",0.02019,5.79194,0.99992,13274.97453,"[0.9837961849108039, 10.600087469706903]",0.44280,43.30288,0.99992,12544.67454,Transitoire
M608T502,0.39611,-0.17397,0.99990,11327.80115,"[-0.5884266825290532, 0.24047889986647397]",0.61216,1.66969,0.99990,10548.35332,"[-5.028034694795502, 8.367412557864974]",0.16374,54.75619,0.99991,10557.42480,Non classé
M609T2534,0.94014,-0.01641,0.99990,11014.86701,"[-0.4612973891147174, 0.428474907913591]",0.34394,2.89014,0.99990,10527.78006,"[-3.2801439563246824, 9.060417135301083]",0.46317,48.78507,0.99990,9927.14734,Non classé
M611T2483,0.55092,-0.10084,0.99990,11167.08722,"[-0.4438998735267807, 0.24221300972956888]",0.00443,7.22881,0.99993,14318.77322,"[2.469719609032352, 11.987892441610917]",0.68090,30.60800,0.99993,13291.47443,Transitoire
M611T2195,0.01921,-0.21694,0.99992,13652.23573,"[-0.3955779726835731, -0.03831063420206893]",0.40851,0.18671,0.99992,12935.83505,"[-0.2707106632745601, 0.6441279281583265]",0.31035,1.81522,0.99992,12455.25762,Substrat
M612T2196,0.16647,-0.19865,0.99990,11870.83564,"[-0.4854956739297563, 0.0881931303107451]",0.98824,-0.02588,0.99990,10938.76769,"[-3.605060584066813, 3.553306064768933]",0.15472,30.43802,0.99991,10988.14130,Non classé
M613T2887,0.13830,-0.10410,0.99991,12002.94566,"[-0.24404203207016215, 0.03583464835938274]",0.19269,0.34445,0.99991,11853.43380,"[-0.18544473257017258, 0.8743516335590474]",0.95714,0.11499,0.99991,10925.46712,Non classé
M613T1410,0.55158,-0.04121,0.99990,11166.57588,"[-0.18163368049031697, 0.09921358789966311]",0.00006,-0.58459,0.99995,19877.97758,"[-0.8340536970289593, -0.33512825785900413]",0.41531,0.94557,0.99995,18844.06860,Non classé
M613T1000,0.00191,0.30513,0.99993,16061.40238,"[0.12345909948832282, 0.48679890432254214]",0.47634,-0.83481,0.99993,15109.71986,"[-3.2125838497255716, 1.5429657736025493]",0.69580,-12.19646,0.99993,14015.98617,Produit
M613T2195,0.35071,-0.19051,0.99990,11394.96854,"[-0.602583824113996, 0.2215679867396736]",0.86294,-0.71808,0.99990,10512.95005,"[-9.197194443950952, 7.761029205259977]",0.00579,279.39018,0.99993,13394.02542,Recyclé
M614T2886,0.56281,-0.10309,0.99990,11157.98236,"[-0.4645861291804362, 0.25840851482468963]",0.76996,0.54026,0.99990,10317.74072,"[-3.2236173981462066, 4.304143375937425]",0.59598,-19.60087,0.99990,9623.24089,Non classé
M614T1411,0.45122,-0.13195,0.99990,11260.26337,"[-0.4865427617364271, 0.2226435989738793]",0.00136,-4.16539,0.99993,15763.78094,"[-6.546563192900802, -1.7842229812887136]",0.33496,31.72454,0.99994,15113.97274,Non classé
M615T1410,0.11076,0.11814,0.99991,12167.09828,"[-0.028945810814160117, 0.26522917957530645]",0.00098,-1.21994,0.99994,17455.53441,"[-1.893332482341501, -0.5465501636821034]",0.58840,2.55061,0.99994,16288.70291,Non classé
M616T1408,0.80504,0.03724,0.99990,11038.77255,"[-0.2696932259773822, 0.3441634018499776]",0.00252,-6.44185,0.99993,14758.68096,"[-10.393535530419499, -2.4901579393911817]",0.83963,-9.57785,0.99993,13625.31935,Non classé
M617T2707,0.18650,-0.07079,0.99990,11792.27877,"[-0.1780414371487972, 0.036454553138491136]",0.16766,0.37263,0.99991,11744.07022,"[-0.16743425259612765, 0.9127004987259884]",0.28899,1.94666,0.99992,11353.61957,Non classé
M618T2707,0.25235,-0.16620,0.99990,11592.95177,"[-0.45801448763044084, 0.12562248998898662]",0.51466,0.86694,0.99990,10869.32597,"[-1.8342550961422295, 3.5681378619554427]",0.00039,76.64102,0.99994,17110.16114,Recyclé
M619T2555,0.70727,0.01566,0.99990,11073.49372,"[-0.06914245536643797, 0.1004714757948698]",0.42104,-0.32056,0.99990,10477.13262,"[-1.127577885625319, 0.48645593739086423]",0.76704,-0.63584,0.99990,9691.84771,Non classé
M620T2553,0.80881,-0.02467,0.99990,11037.74076,"[-0.2321303012809592, 0.1827898433409245]",0.90335,0.14350,0.99990,10177.11753,"[-2.2658669353786065, 2.552873453230295]",0.43398,-15.25140,0.99990,9626.71424,Non classé
M620T2886,0.99576,0.00042,0.99990,11012.44371,"[-0.16218256339662684, 0.16303128271824313]",0.70651,0.14466,0.99990,10206.57553,"[-0.6375787952441829, 0.9269067761504504]",0.59200,1.87812,0.99990,9522.03813,Non classé
M621T1411,0.07313,0.28083,0.99991,12489.92602,"[-0.028257491796116363, 0.5899166565890371]",0.00310,-5.73715,0.99994,16444.06883,"[-9.346231295139612, -2.128063426408024]",0.58845,-27.85957,0.99994,15344.80652,Non classé
M621T2555,0.77708,0.02211,0.99990,11047.10063,"[-0.13675286480349275, 0.18097334469172227]",0.92259,-0.07735,0.99990,10183.54375,"[-1.7003369531351402, 1.5456304253939144]",0.59049,-5.58004,0.99990,9501.50104,Non classé
M621T2886,0.74907,-0.04198,0.99990,11056.70067,"[-0.3089323424494332, 0.22496550022802125]",0.98367,-0.02239,0.99990,10188.64036,"[-2.253123258697803, 2.208339066922216]",0.18982,20.59595,0.99990,10102.28128,Non classé
M622T1409,0.74365,0.07009,0.99990,11058.70907,"[-0.36578218432026793, 0.5059573147887539]",0.28977,-4.35055,0.99990,10667.17855,"[-12.63498974179808, 3.933899730324846]",0.76512,-44.93193,0.99990,9868.27717,Non classé
M622T2886,0.39165,-0.19650,0.99990,11333.89378,"[-0.6601595079133085, 0.26715907301540875]",0.71405,-1.36736,0.99990,10501.27649,"[-8.966074404286127, 6.231355316982169]",0.03406,216.20202,0.99992,11715.23936,Recyclé
M623T2483,0.35784,-0.10394,0.99990,11383.60960,"[-0.3321809528077756, 0.12430059349139863]",0.00063,6.02864,0.99994,16893.37162,"[2.8502446419399194, 9.207040386012583]",0.56138,-28.89983,0.99994,15793.98256,Transitoire
M625T2886,0.07946,-0.03492,0.99991,12423.84228,"[-0.07425123880485787, 0.00440364240985984]",0.17879,0.10736,0.99992,12324.64230,"[-0.0524798881692444, 0.26720312200771157]",0.12333,0.52257,0.99992,12565.68394,Non classé
M626T2887,0.22367,-0.04442,0.99990,11670.68729,"[-0.11765521868744985, 0.02882313335407302]",0.20270,0.38724,0.99991,11490.50645,"[-0.22239786076761803, 0.9968714822457194]",0.19835,3.66809,0.99992,11361.87236,Non classé
M627T2887,0.13868,-0.10212,0.99991,12000.97130,"[-0.23953655211352679, 0.03528997164544881]",0.79958,0.18822,0.99991,11087.71658,"[-1.3224852221248022, 1.6989334945097718]",0.73879,2.59751,0.99991,10266.89665,Non classé
M628T2887,0.84125,-0.03732,0.99990,11029.76818,"[-0.41652253654373295, 0.34188075157860387]",0.02030,6.45967,0.99992,12661.37339,"[1.0920088355389774, 11.82732228151066]",0.46838,-73.50709,0.99992,11932.69968,Transitoire
M629T2556,0.90187,-0.00973,0.99990,11018.99839,"[-0.17040178693979585, 0.1509373491999194]",0.94168,-0.07022,0.99990,10155.94299,"[-2.0271886743825647, 1.8867424928596603]",0.38989,-10.44255,0.99990,9658.79033,Non classé
M630T2886,0.39504,-0.02264,0.99990,11329.26181,"[-0.0764639951470561, 0.03117578010640293]",0.38236,-0.19456,0.99990,10769.84745,"[-0.6451725054227326, 0.25605911286483884]",0.88421,-0.11636,0.99990,9934.45218,Non classé
M631T1564,0.73955,-0.05389,0.99990,11060.26260,"[-0.3835423774284669, 0.2757619054491757]",0.44318,-2.62126,0.99990,10439.28399,"[-9.549735413267346, 4.307215845770346]",0.48825,-45.07805,0.99990,9819.49755,Non classé
M631T2886,0.61575,-0.04672,0.99990,11121.73857,"[-0.2357596439424262, 0.14232426408929133]",0.44217,1.14265,0.99990,10498.42376,"[-1.870838389278913, 4.156135496576948]",0.88495,-3.32153,0.99990,9683.97028,Non classé
M632T1542,0.02820,0.15779,0.99992,13300.53186,"[0.0182357146348692, 0.2973425779771489]",0.01208,-1.58860,0.99993,15847.50983,"[-2.7974674437314593, -0.3797393705532124]",0.21089,-8.55711,0.99994,15610.73761,Produit
M633T1542,0.22741,0.17945,0.99990,11659.84534,"[-0.11891651538916165, 0.4778096241828567]",0.24631,-3.80600,0.99991,11350.04092,"[-10.408601515301031, 2.7966101647857133]",0.12835,-141.88871,0.99992,11541.43690,Non classé
M633T2195,0.23078,-0.17346,0.99990,11650.29107,"[-0.46401571755151033, 0.11709987458431731]",0.21004,2.20327,0.99991,11446.29611,"[-1.323762968269504, 5.730310233485893]",0.09811,56.33177,0.99992,11850.96053,Non classé
M635T1411,0.28735,0.13055,0.99990,11512.21958,"[-0.11649667481164325, 0.37758921600512785]",0.00507,-1.74916,0.99993,14613.54612,"[-2.9217675128651575, -0.5765522802336258]",0.81229,-2.59836,0.99993,13500.19792,Non classé
M635T2887,0.19861,-0.02143,0.99990,11749.58803,"[-0.05483250739326765, 0.011964341565422733]",0.60991,-0.01222,0.99990,10942.57860,"[-0.06093275964337404, 0.036490892742833195]",0.72060,0.01048,0.99991,10139.71628,Non classé
M636T2886,0.02793,-0.14790,0.99992,13309.04628,"[-0.27845949404490156, -0.01733521576019123]",0.55179,0.13339,0.99992,12442.46984,"[-0.3220151916848302, 0.5887871175954442]",0.22607,2.19158,0.99992,12204.59829,Substrat
M637T2886,0.44590,-0.11634,0.99990,11266.21069,"[-0.42531773661595773, 0.1926279339589796]",0.29690,-1.58430,0.99990,10852.87135,"[-4.647097531733186, 1.4785023171344753]",0.44869,16.98851,0.99991,10249.26126,Non classé
M637T1410,0.00775,0.33972,0.99992,14540.48822,"[0.09775535774895514, 0.5816937641826319]",0.53436,2.38371,0.99992,13611.47670,"[-5.407874109266812, 10.175288697514466]",0.61338,-37.10260,0.99992,12681.32460,Produit
M638T1410,0.67990,-0.08485,0.99990,11086.18682,"[-0.5028144823975851, 0.33311993103351795]",0.14836,-6.51422,0.99991,11124.66971,"[-15.50976197742122, 2.4813235726282414]",0.48485,118.54988,0.99991,10467.55642,Non classé
M639T3017,0.48254,-0.15043,0.99990,11227.43365,"[-0.5844553882305454, 0.2835948048012671]",0.47614,2.80016,0.99990,10562.38614,"[-5.171773681861627, 10.772099580880482]",0.04500,227.50224,0.99992,11548.79369,Recyclé
M640T1410,0.47496,-0.08227,0.99990,11235.04915,"[-0.31552875658097157, 0.15099567244090376]",0.00327,-2.15049,0.99993,14734.18200,"[-3.512188993877353, -0.7887828768331364]",0.30984,13.67768,0.99993,14188.09976,Non classé
M641T915,0.67328,0.06330,0.99990,11089.47116,"[-0.24178887285998318, 0.3683810937258506]",0.21245,4.52171,0.99990,10887.95378,"[-2.7563302041903572, 11.799747961226183]",0.98793,1.97349,0.99990,10034.43590,Non classé
M641T1054,0.73966,0.00244,0.99990,11060.21737,"[-0.012501796655810915, 0.017385313040101602]",0.93334,0.00078,0.99990,10194.61728,"[-0.01826310494421362, 0.019825679041598335]",0.29737,0.01580,0.99990,9839.61371,Non classé
M641T1511,0.07662,0.03857,0.99991,12452.71413,"[-0.004426237475529844, 0.08157270097897673]",0.62408,-0.03729,0.99991,11587.88287,"[-0.19207999903081896, 0.11749354827123082]",0.89341,0.05724,0.99991,10687.55301,Non classé
M641T1436,0.95699,-0.00106,0.99990,11013.68734,"[-0.04115240013028765, 0.039028501242278524]",0.19222,0.08996,0.99990,10878.10144,"[-0.0482798707422368, 0.22819764761550274]",0.02198,-0.58737,0.99992,12532.07699,Non classé
M641T2887,0.34738,-0.18559,0.99990,11400.39316,"[-0.5842147933611774, 0.21303292605754498]",0.23795,3.27733,0.99991,11119.50625,"[-2.3053149916227103, 8.859972141924432]",0.15269,-145.63936,0.99991,11179.25133,Non classé
